query_id,intent,gold_lane,variant_id,top_k,candidate_count,retrieval_ms,prompt_tokens_est,gold_evidence_ids,retrieved_ids,sufficient_context,refusal_expected,refusal_gate_available,empty_retrieval_correct,evidence_covered,required_fields_present,sufficient_packet,review_state
"BQ01","archive_orientation","help","top1_compressed_topology_source_rights","1","1","1.333","290","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ01","archive_orientation","help","top3_compressed_topology_source_rights","3","3","0.29","1023","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001|SURF-ER1830R001-GROUP|SURF-CRG2026R0003","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ01","archive_orientation","help","top8_compressed_topology_source_rights","8","8","0.377","3048","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001|SURF-ER1830R001-GROUP|SURF-CRG2026R0003|SURF-GAX1970R005|SURF-CGS2026R0328|SURF-CGS2026R0030|SURF-CGS2026R0908|SURF-CGS2026R0904","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ01","archive_orientation","help","top3_raw_topology_source_rights","3","3","0.291","1207","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001|SURF-ER1830R001-GROUP|SURF-CRG2026R0003","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ01","archive_orientation","help","top3_compressed_no_topology_source_rights","3","3","0.361","844","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001|SURF-ER1830R001-GROUP|SURF-CRG2026R0003","true","false","false","true","false","false","false","seed_auto_needs_human_review"
"BQ01","archive_orientation","help","top3_compressed_topology_no_source_rights","3","3","0.256","601","SURF-ER1830R004|SURF-ER1830R015","SURF-GAX1970R001|SURF-ER1830R001-GROUP|SURF-CRG2026R0003","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top1_compressed_topology_source_rights","1","1","0.356","546","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top3_compressed_topology_source_rights","3","3","0.395","1381","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top8_compressed_topology_source_rights","8","8","0.384","3488","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-GAX1970R001|SURF-CRG2026R0001|SURF-CRG2026R0002|SURF-GAX1970R002|SURF-CRG2026R0003|SURF-CRG2026R0004","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top3_raw_topology_source_rights","3","3","0.319","1500","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top3_compressed_no_topology_source_rights","3","3","0.367","1211","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-GAX1970R001","true","false","false","true","true","false","false","seed_auto_needs_human_review"
"BQ02","archive_orientation","help","top3_compressed_topology_no_source_rights","3","3","0.309","839","SURF-CGS2026R0909|SURF-CGS2026R0910","SURF-CGS2026R0909|SURF-CGS2026R0910|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top1_compressed_topology_source_rights","1","1","0.578","512","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top3_compressed_topology_source_rights","3","3","0.631","1247","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908|SURF-CRG2026R0005|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top8_compressed_topology_source_rights","8","8","0.567","3025","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908|SURF-CRG2026R0005|SURF-GAX1970R001|SURF-GAX1970R005|SURF-ER1830R004|SURF-ER1830R008|SURF-ER1830R015|SURF-ER1830R017","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top3_raw_topology_source_rights","3","3","0.646","1420","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908|SURF-CRG2026R0005|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top3_compressed_no_topology_source_rights","3","3","0.577","1075","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908|SURF-CRG2026R0005|SURF-GAX1970R001","true","false","false","true","true","false","false","seed_auto_needs_human_review"
"BQ03","archive_orientation","help","top3_compressed_topology_no_source_rights","3","3","0.586","760","SURF-CGS2026R0908|SURF-CRG2026R0005","SURF-CGS2026R0908|SURF-CRG2026R0005|SURF-GAX1970R001","true","false","false","true","true","true","true","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top1_compressed_topology_source_rights","1","1","0.794","490","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top3_compressed_topology_source_rights","3","2","0.737","957","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004|SURF-CRG2026R0153","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top8_compressed_topology_source_rights","8","2","0.81","957","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004|SURF-CRG2026R0153","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top3_raw_topology_source_rights","3","2","0.988","914","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004|SURF-CRG2026R0153","true","false","false","true","false","true","false","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top3_compressed_no_topology_source_rights","3","2","0.736","838","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004|SURF-CRG2026R0153","true","false","false","true","false","false","false","seed_auto_needs_human_review"
"BQ04","casual_archive_help","help","top3_compressed_topology_no_source_rights","3","2","0.79","655","SURF-ER1830R015|SURF-CRG2026R0051","SURF-CRG2026R0004|SURF-CRG2026R0153","true","false","false","true","false","true","false","seed_auto_needs_human_review"
